index,hmdb_id,metabolite,smiles,n_diseases
67,HMDB0006007,Isopentanol,CC(C)CCO,1
68,HMDB0006006,Isobutanol,CC(C)CO,1
69,HMDB0005994,Hexanal,CCCCCC=O,1
70,HMDB0005879,Dimethyldisulfide,CSSC,1
71,HMDB0005842,2-Oxohexane,CCCCC(C)=O,1
72,HMDB0004327,1-Butanol,CCCCO,1
73,HMDB0004259,Acetyl-N-formyl-5-methoxykynurenamine,COC1=CC(C(=O)CCNC(C)=O)=C(NC=O)C=C1,1
74,HMDB0004158,Urobilinogen,CCC1=C(C)C(=O)NC1CC1=C(C)C(CCC(O)=O)=C(CC2=C(CCC(O)=O)C(C)=C(CC3NC(=O)C(C=C)=C3C)N2)N1,1
75,HMDB0011749,2-Piperidinone,O=C1CCCCN1,1
76,HMDB0003993,alpha-Carotene,C\C(\C=C\C=C(/C)\C=C\[C@H]1C(C)=CCCC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)CCCC1(C)C,1
77,HMDB0003990,"3b,5a,6b-Cholestanetriol",[H][C@@]12CC[C@H]([C@H](C)CCCC(C)C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@@H](O)[C@@]2(O)C[C@@H](O)CC[C@]12C,1
78,HMDB0003671,2-Heptanone,CCCCCC(C)=O,1
79,HMDB0003625,Mercury,[Hg++],1
80,HMDB0003543,Butanal,CCCC=O,1
81,HMDB0003424,1-Hexadecanol,CCCCCCCCCCCCCCCCO,1
82,HMDB0003407,Diacetyl,CC(=O)C(C)=O,1
83,HMDB0003375,(+)-Limonene,CC(=C)[C@@H]1CCC(C)=CC1,1
84,HMDB0003366,Propanal,CCC=O,1
85,HMDB0006119,7beta-Hydroxycholesterol,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@@H](O)C=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,1
86,HMDB0006225,Ercalcitriol,C[C@H](\C=C\[C@H](C)C(O)(C)C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C,1
87,HMDB0006236,Phenylacetaldehyde,O=CCC1=CC=CC=C1,1
88,HMDB0006478,Isovaleraldehyde,CC(C)CC=O,1
89,HMDB0011738,N2-gamma-Glutamylglutamine,N[C@@H](CCC(=O)N[C@@H](CCC(N)=O)C(O)=O)C(O)=O,1
90,HMDB0011635,p-Cresol sulfate,CC1=CC=C(OS(O)(=O)=O)C=C1,1
91,HMDB0011503,LysoPE(16:0/0:0),[H][C@@](O)(COC(=O)CCCCCCCCCCCCCCC)COP(O)(=O)OCCN,1
92,HMDB0011502,LysoPE(15:0/0:0),[H][C@@](O)(COC(=O)CCCCCCCCCCCCCC)COP(O)(=O)OCCN,1
93,HMDB0011500,LysoPE(14:0/0:0),[H][C@@](O)(COC(=O)CCCCCCCCCCCCC)COP(O)(=O)OCCN,1
94,HMDB0031019,2-Dodecanone,CCCCCCCCCCC(C)=O,1
95,HMDB0011469,2-Butanol,CCC(C)O,1
96,HMDB0011154,LysoPA(P-16:0/0:0),CCCCCCCCCCCCCC\C=C/OC[C@](O)([H])COP(=O)(O)O,1
97,HMDB0011144,LysoPA(O-18:0/0:0),CCCCCCCCCCCCCCCCCCOCC(O)COP(O)(O)=O,1
98,HMDB0011134,5-HETE,CCCCC\C=C/C\C=C/C\C=C/C=C/[C@@H](O)CCCC(O)=O,1
99,HMDB0010730,3-Oxotetradecanoic acid,CCCCCCCCCCCC(=O)CC(O)=O,1
100,HMDB0010576,"PG(16:0/18:3(6Z,9Z,12Z))",[H][C@](O)(CO)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC,1
101,HMDB0010340,Retinyl beta-glucuronide,O[C@@H]1[C@@H](O)[C@H](OC\C=C(\C)/C=C/C=C(/C)\C=C\C2=C(C)CCCC2(C)C)O[C@H](C(O)=O)[C@H]1O,1
102,HMDB0008591,"PC(22:2(13Z,16Z)/14:1(9Z))",CCCCC\C=C/C\C=C/CCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCC,1
103,HMDB0007856,"LysoPA(18:2(9Z,12Z)/0:0)",CCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC(O)COP(O)(O)=O,1
104,HMDB0007175,"DG(18:0/22:2(13Z,16Z)/0:0)",[H][C@](CO)(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCC,1
105,HMDB0007103,"DG(16:0/18:2(9Z,12Z)/0:0)",[H][C@](CO)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,1
106,HMDB0007079,DG(15:0/20:1(11Z)/0:0),[H][C@](CO)(COC(=O)CCCCCCCCCCCCCC)OC(=O)CCCCCCCCC\C=C/CCCCCCCC,1
107,HMDB0006483,D-Aspartic acid,N[C@H](CC(O)=O)C(O)=O,1
108,HMDB0030062,Methyl propionate,CCC(=O)OC,1
109,HMDB0031294,2-Octanone,CCCCCCC(C)=O,1
110,HMDB0031206,Pentanal,CCCCC=O,1
111,HMDB0036209,Propyl 2-methylpropanoate,CCCOC(=O)C(C)C,1
112,HMDB0039095,Pentyl acetate,CCCCCOC(C)=O,1
113,HMDB0037051,1-Isopropyl-3-methylbenzene,CC(C)C1=CC=CC(C)=C1,1
114,HMDB0037050,1-Isopropyl-2-methylbenzene,CC(C)C1=CC=CC=C1C,1
115,HMDB0037020,p-Menthan-1-ol,CC(C)C1CCC(C)(O)CC1,1
116,HMDB0036994,Terpinolene,CC(C)=C1CCC(C)=CC1,1
117,HMDB0036792,beta-Caryophyllene,[H][C@]12CC(C)(C)[C@]1([H])CC\C(C)=C\CCC2=C,1
118,HMDB0036574,Carbon disulfide,S=C=S,1
119,HMDB0036467,alpha-Humulene,C\C1=C/CC(C)(C)\C=C\C\C(C)=C\CC1,1
120,HMDB0036413,alpha-Cubebene,[H][C@]12[C@@H](CC[C@@H](C)[C@]11CC=C(C)[C@]21[H])C(C)C,1
121,HMDB0036100,"3,7-Dimethyl-1,6-octadien-3-ol",CC(C)=CCCC(C)(O)C=C,1
122,HMDB0031207,Methyl pentanoate,CCCCC(=O)OC,1
123,HMDB0036081,beta-Phellandrene,CC(C)C1CCC(=C)C=C1,1
124,HMDB0035924,Pyrrole,N1C=CC=C1,1
125,HMDB0035915,Sulcatone,CC(C)=CCCC(C)=O,1
126,HMDB0035850,alpha-Phellandrene,CC(C)C1CC=C(C)C=C1,1
127,HMDB0035765,p-Menthan-3-ol,CC(C)C1CCC(C)CC1O,1
128,HMDB0035619,alpha-Carene,CC1=CCC2C(C1)C2(C)C,1
129,HMDB0035289,"2,5-Dimethylpyrazine",CC1=CN=C(C)C=N1,1
130,HMDB0035238,Methyl hexanoate,CCCCCC(=O)OC,1
131,HMDB0035226,2-Acetyl-5-methylfuran,CC(=O)C1=CC=C(C)O1,1
132,HMDB0039618,Propyl butyrate,CCCOC(=O)CCC,1
133,HMDB0039620,Butyl butyrate,CCCCOC(=O)CCC,1
134,HMDB0039843,S-Methyl 3-methylthiobutyrate,CSC(=O)CC(C)C,1
135,HMDB0040272,2-Butylfuran,CCCCC1=CC=CO1,1
136,HMDB0061892,2-Heptene,[H]\C(C)=C(/[H])CCCC,1
137,HMDB0061869,Acetonitrile,CC#N,1
138,HMDB0061851,alpha-Copaene,CC(C)[C@@H]1CC[C@]2(C)[C@H]3CC=C(C)[C@@H]2[C@@H]13,1
139,HMDB0060602,N-acetyl-5-aminosalicylic acid,CC(=O)NC1=CC=C(O)C(=C1)C(O)=O,1
140,HMDB0059924,p-Xylene,CC1=CC=C(C)C=C1,1
141,HMDB0059907,Tetradecane,CCCCCCCCCCCCCC,1
142,HMDB0059905,Ethylbenzene,CCC1=CC=CC=C1,1
143,HMDB0059901,Hemimellitene,CC1=CC=CC(C)=C1C,1
144,HMDB0059899,alpha-Methylstyrene,CC(=C)C1=CC=CC=C1,1
145,HMDB0059851,o-Xylene,CC1=CC=CC=C1C,1
146,HMDB0059848,m-Ethyl_toluene,[H]C1=C([H])C(=C([H])C(=C1[H])C([H])([H])C([H])([H])[H])C([H])([H])[H],1
147,HMDB0059835,Nonanal,CCCCCCCCC=O,1
148,HMDB0059810,m-Xylene,CC1=CC(C)=CC=C1,1
149,HMDB0059773,S-3-oxodecanoyl cysteamine,CCCCCCCC(=O)CC(=O)SCCN,1
150,HMDB0059732,2-(2-Phenylacetoxy)propionylglycine,CCC(=O)NC(OC(=O)CC1=CC=CC=C1)C(O)=O,1
151,HMDB0041971,P-Dichlorobenzene,ClC1=CC=C(Cl)C=C1,1
152,HMDB0041389,Methyl 2-propenyl disulfide,CSSCC=C,1
153,HMDB0040726,(±)-cis-Linalyl oxide,CC(C)(O)[C@H]1CC[C@](C)(O1)C=C,1
154,HMDB0040297,Ethyl pentanoate,CCCCC(=O)OCC,1
155,HMDB0034240,Styrene,C=CC1=CC=CC=C1,1
156,HMDB0034235,2-Pentanone,CCCC(C)=O,1
157,HMDB0034233,2-Butenal,C\C=C\C=O,1
158,HMDB0031549,5-Methyl-2-hexanone,CC(C)CCC(C)=O,1
159,HMDB0031528,Isopentyl acetate,CC(C)CCOC(C)=O,1
160,HMDB0031526,(±)-2-Methylbutanal,CCC(C)C=O,1
161,HMDB0031525,(S)-2-Methylbutanal,CC[C@H](C)C=O,1
162,HMDB0031523,Methyl acetate,COC(C)=O,1
163,HMDB0031491,"2,3-Hexanedione",CCCC(=O)C(C)=O,1
164,HMDB0031482,3-Heptanone,CCCCC(=O)CC,1
165,HMDB0031475,Heptanal,CCCCCCC=O,1
166,HMDB0031450,N-Decane,CCCCCCCCCC,1
167,HMDB0031445,Undecane,CCCCCCCCCCC,1
168,HMDB0031409,2-Decanone,CCCCCCCCC(C)=O,1
169,HMDB0031343,Methyl cyclohexanecarboxylate,COC(=O)C1CCCCC1,1
170,HMDB0031317,Bis(methylthio)methane,CSCSC,1
171,HMDB0031299,(R)-1-Octen-3-ol,CCCCCC(O)C=C,1
172,HMDB0031266,2-Nonanone,CCCCCCCC(C)=O,1
173,HMDB0031265,1-Nonanol,CCCCCCCCCO,1
174,HMDB0031243,2-Methylpropanal,CC(C)C=O,1
175,HMDB0031231,xi-2-Ethyl-1-hexanol,CCCCC(CC)CO,1
176,HMDB0031230,2-Ethylhexanoic acid,CCCCC(CC)C(O)=O,1
177,HMDB0031217,Ethyl acetate,CCOC(C)=O,1
178,HMDB0031548,Dichloromethane,ClCCl,1
179,HMDB0031582,"6-Methyl-3,5-heptadien-2-one",CC(C)=C\C=C/C(C)=O,1
