hmdb_id,metabolite,smiles,status
HMDB0000201,L-Acetylcarnitine,CC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C,ok
HMDB0000209,Phenylacetic acid,OC(=O)CC1=CC=CC=C1,ok
HMDB0000210,Pantothenic acid,CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O,ok
HMDB0000214,Ornithine,NCCC[C@H](N)C(O)=O,ok
HMDB0000220,Palmitic acid,CCCCCCCCCCCCCCCC(O)=O,ok
HMDB0000224,O-Phosphoethanolamine,NCCOP(O)(O)=O,ok
HMDB0000226,Orotic acid,OC(=O)C1=CC(=O)NC(=O)N1,ok
HMDB0000228,Phenol,OC1=CC=CC=C1,ok
HMDB0000230,N-Acetylneuraminic acid,[H][C@]1(O[C@@](O)(C[C@H](O)[C@H]1NC(C)=O)C(O)=O)[C@H](O)[C@H](O)CO,ok
HMDB0000237,Propionic acid,CCC(O)=O,ok
HMDB0000239,Pyridoxine,CC1=C(O)C(CO)=C(CO)C=N1,ok
HMDB0000243,Pyruvic acid,CC(=O)C(O)=O,ok
HMDB0000247,Sorbitol,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,ok
HMDB0000251,Taurine,NCCS(O)(=O)=O,ok
HMDB0000254,Succinic acid,OC(=O)CCC(O)=O,ok
HMDB0000258,Sucrose,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,ok
HMDB0000267,Pyroglutamic acid,OC(=O)[C@@H]1CCC(=O)N1,ok
HMDB0000286,Uridine diphosphate glucose,OC[C@H]1O[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@@H]1O,ok
HMDB0000289,Uric acid,O=C1NC2=C(N1)C(=O)NC(=O)N2,ok
HMDB0000292,Xanthine,O=C1NC2=C(NC=N2)C(=O)N1,ok
HMDB0000296,Uridine,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O,ok
HMDB0000299,Xanthosine,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=C(O)N=C2O,ok
HMDB0000300,Uracil,O=C1NC=CC(=O)N1,ok
HMDB0000306,Tyramine,NCCC1=CC=C(O)C=C1,ok
HMDB0000317,2-Hydroxy-3-methylpentanoic acid,CC[C@@H](C)[C@@H](O)C(O)=O,ok
HMDB0000359,"3alpha,7alpha-Dihydroxycoprostanic acid",[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C(O)=O,ok
HMDB0000374,17-Hydroxyprogesterone,[H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,ok
HMDB0000379,2-Methylcitric acid,CC(C(O)=O)C(O)(CC(O)=O)C(O)=O,ok
HMDB0000462,Allantoin,NC(=O)NC1NC(=O)NC1=O,ok
HMDB0000464,Calcium,[Ca++],failed: PaDEL-Descriptor encountered an error: PaDEL-Descriptor timed out during subprocess call
HMDB0000466,3-Methylindole,CC1=CNC2=C1C=CC=C2,ok
HMDB0000472,5-Hydroxy-L-tryptophan,N[C@@H](CC1=CNC2=C1C=C(O)C=C2)C(O)=O,ok
HMDB0000474,Butanone,CCC(C)=O,ok
HMDB0000477,"7Z,10Z-Hexadecadienoic acid",CCCCC\C=C/C\C=C/CCCCCC(O)=O,ok
HMDB0000482,Caprylic acid,CCCCCCCC(O)=O,ok
HMDB0000483,"5b-Cholestane-3a,7a,12a,23S,25-pentol",[H]C1CC([C@@H](C)C[C@H](O)CC(C)(C)O)[C@]2(C)C1[C@]1([H])[C@H](O)C[C@]3([H])C[C@H](O)CC[C@]3(C)[C@@]1([H])C[C@@H]2O,ok
HMDB0000501,7-Ketocholesterol,[H][C@@]12CCC([C@H](C)CCCC(C)C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C(=O)C=C2CC(O)CC[C@]12C,ok
HMDB0000510,Aminoadipic acid,N[C@@H](CCCC(O)=O)C(O)=O,ok
HMDB0000517,L-Arginine,N[C@@H](CCCNC(N)=N)C(O)=O,ok
HMDB0000520,"5a-Cholestane-3a,7a,12a,25-tetrol",[H][C@@]12CCC([C@H](C)CCCC(C)(C)O)[C@@]1(C)[C@@H](O)C[C@@]1([H])[C@@]2([H])[C@H](O)C[C@@]2([H])C[C@H](O)CC[C@]12C,ok
HMDB0000535,Caproic acid,CCCCCC(O)=O,ok
HMDB0000547,Magnesium,[Mg++],failed: PaDEL-Descriptor encountered an error: PaDEL-Descriptor timed out during subprocess call
HMDB0000555,3-Methyladipic acid,C[C@@H](CCC(O)=O)CC(O)=O,ok
HMDB0000561,beta-Carotene,C\C(\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)CCCC1(C)C,ok
HMDB0000562,Creatinine,CN1CC(=O)NC1=N,ok
HMDB0000574,L-Cysteine,N[C@@H](CS)C(O)=O,ok
HMDB0000577,5beta-Coprostanol,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,ok
HMDB0000599,Chromium,[Cr+3],failed: PaDEL-Descriptor encountered an error: PaDEL-Descriptor timed out during subprocess call
HMDB0000608,Cobalt,[Co++],failed: PaDEL-Descriptor encountered an error: PaDEL-Descriptor timed out during subprocess call
HMDB0000619,Cholic acid,C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,ok
HMDB0000623,Dodecanedioic acid,OC(=O)CCCCCCCCCCC(O)=O,ok
HMDB0000626,Deoxycholic acid,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(O)=O,ok
HMDB0000630,Cytosine,NC1=CC=NC(=O)N1,ok
HMDB0000641,L-Glutamine,N[C@@H](CCC(N)=O)C(O)=O,ok
HMDB0000651,Decanoylcarnitine,CCCCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C,ok
HMDB0000657,Copper,[Cu++],failed: PaDEL-Descriptor encountered an error: PaDEL-Descriptor timed out during subprocess call
HMDB0000661,Glutaric acid,OC(=O)CCCC(O)=O,ok
HMDB0000666,Heptanoic acid,CCCCCCC(O)=O,ok
HMDB0000673,Linoleic acid,CCCCC\C=C/C\C=C/CCCCCCCC(O)=O,ok
HMDB0000684,L-Kynurenine,N[C@@H](CC(=O)C1=CC=CC=C1N)C(O)=O,ok
HMDB0000687,L-Leucine,CC(C)C[C@H](N)C(O)=O,ok
HMDB0000689,Isocaproic acid,CC(C)CCC(O)=O,ok
HMDB0000692,Fe2+,[Fe++],failed: PaDEL-Descriptor encountered an error: PaDEL-Descriptor timed out during subprocess call
HMDB0000695,Ketoleucine,CC(C)CC(=O)C(O)=O,ok
HMDB0000696,L-Methionine,CSCC[C@H](N)C(O)=O,ok
HMDB0000714,Hippuric acid,OC(=O)CNC(=O)C1=CC=CC=C1,ok
HMDB0000715,Kynurenic acid,OC(=O)C1=CC(=O)C2=CC=CC=C2N1,ok
HMDB0000718,Isovaleric acid,CC(C)CC(O)=O,ok
HMDB0000719,L-Homoserine,N[C@@H](CCO)C(O)=O,ok
HMDB0000725,4-Hydroxyproline,O[C@H]1CN[C@@H](C1)C(O)=O,ok
HMDB0000738,Indole,N1C=CC2=C1C=CC=C2,ok
HMDB0000742,Homocysteine,N[C@@H](CCS)C(O)=O,ok
HMDB0000754,3-Hydroxyisovaleric acid,CC(C)(O)CC(O)=O,ok
HMDB0000756,Hexanoylcarnitine,CCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C,ok
HMDB0000763,5-Hydroxyindoleacetic acid,OC(=O)CC1=CNC2=C1C=C(O)C=C2,ok
HMDB0000764,Hydrocinnamic acid,OC(=O)CCC1=CC=CC=C1,ok
HMDB0000791,Octanoylcarnitine,CCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C,ok
HMDB0000792,Sebacic acid,OC(=O)CCCCCCCCC(O)=O,ok
HMDB0000819,Normetanephrine,COC1=CC(=CC=C1O)C(O)CN,ok
HMDB0000820,Propyl alcohol,CCCO,ok
HMDB0000824,Propionylcarnitine,CCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C,ok
HMDB0000826,Pentadecanoic acid,CCCCCCCCCCCCCCC(O)=O,ok
HMDB0000827,Stearic acid,CCCCCCCCCCCCCCCCCC(O)=O,ok
HMDB0000845,Neopterin,NC1=NC2=C(N=C(C=N2)C(O)C(O)CO)C(=O)N1,ok
HMDB0000847,Pelargonic acid,CCCCCCCCC(O)=O,ok
HMDB0000851,Pyridinoline,N[C@@H](CCC1=C[N+](C[C@H](O)CC[C@H](N)C([O-])=O)=CC(O)=C1C[C@H](N)C(O)=O)C(O)=O,ok
HMDB0000863,Isopropyl alcohol,CC(C)O,ok
HMDB0000879,Tetrahydrodeoxycorticosterone,[H][C@@]12CC[C@H](C(=O)CO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](O)CC[C@]12C,ok
HMDB0000883,L-Valine,CC(C)[C@H](N)C(O)=O,ok
HMDB0000888,Undecanedioic acid,OC(=O)CCCCCCCCCC(O)=O,ok
HMDB0000892,Valeric acid,CCCCC(O)=O,ok
HMDB0000898,1-Methylhistamine,CN1C=NC(CCN)=C1,ok
HMDB0000904,Citrulline,N[C@@H](CCCNC(N)=O)C(O)=O,ok
HMDB0000906,Trimethylamine,CN(C)C,ok
HMDB0000910,Tridecanoic acid,CCCCCCCCCCCCC(O)=O,ok
HMDB0000925,Trimethylamine N-oxide,C[N+](C)(C)[O-],ok
HMDB0000926,Pyridine,C1=CC=NC=C1,ok
HMDB0000929,L-Tryptophan,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,ok
HMDB0000951,Taurochenodesoxycholic acid,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O,ok
HMDB0000982,5-Methylcytidine,CC1=CN([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N=C1N,ok
HMDB0000990,Acetaldehyde,CC=O,ok
HMDB0001032,Dehydroepiandrosterone sulfate,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@H](CC[C@]12C)OS(O)(=O)=O,ok
HMDB0001035,Angiotensin II,CC[C@H](C)[C@H](NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](N)CC(O)=O)C(C)C)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,ok
HMDB0001049,gamma-Glutamylcysteine,N[C@@H](CCC(=O)N[C@@H](CS)C(O)=O)C(O)=O,ok
HMDB0001051,Glyceraldehyde,OCC(O)C=O,ok
HMDB0001140,Octanal,CCCCCCCC=O,ok
HMDB0001183,Octanol,CCCCCCCCO,ok
HMDB0001184,Methyl propenyl ketone,C\C=C\C(C)=O,ok
HMDB0001247,Aluminum,[Al],failed: PaDEL-Descriptor encountered an error: PaDEL-Descriptor timed out during subprocess call
HMDB0001257,Spermidine,NCCCCNCCCN,ok
HMDB0001302,Molybdenum,[Mo++],failed: PaDEL-Descriptor encountered an error: PaDEL-Descriptor timed out during subprocess call
HMDB0001333,Manganese,[Mn++],failed: PaDEL-Descriptor encountered an error: PaDEL-Descriptor timed out during subprocess call
HMDB0001406,Niacinamide,NC(=O)C1=CC=CN=C1,ok
HMDB0001414,Putrescine,NCCCCN,ok
HMDB0001419,24-Hydroxycholesterol,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CC[C@H](O)C(C)C,ok
HMDB0001453,Thiocyanate,[S-]C#N,ok
HMDB0001485,Octane,CCCCCCCC,ok
HMDB0001488,Nicotinic acid,OC(=O)C1=CN=CC=C1,ok
