disease,index,n_metabolites
Rheumatoid Arthritis,0,32
Systemic Lupus Erythematosus,1,0
Multiple Sclerosis,2,20
Inflammatory Bowel Disease,3,337
Type 1 Diabetes,4,18
Psoriasis,5,0
Ankylosing Spondylitis,6,0
Sjögren's Syndrome,7,0
